Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members,Top GO Terms,Top GO Term p-values,Top GO FDRs,Top GO Term Fold Enrichments
1,9,0.6804,24.49,7099.0,0.00343,0.9998530000000001,A1BG ANHX SLC27A5 ZBTB45 ZNF132 ZNF324 ZNF324B ZNF497 ZSCAN22,"regulation of transcription by RNA polymerase II|regulation of transcription, DNA-templated|regulation of nucleic acid-templated transcription|regulation of RNA biosynthetic process|regulation of RNA metabolic process",1.416e-05|0.0001004|0.0001006|0.0001015|0.0001663,0.2234|0.7916|0.5287|0.4004|0.5246,6.194|4.624|4.623|4.616|4.285
2,20,0.5233,99.43,15920.0,0.006193,1.0,A1CF AGAP5 ANXA8L1 CALHM3 CFAP70 DUPD1 DUSP13 GPRIN2 HKDC1 NUTM2A NUTM2B PTPN20 SFTPA1 SFTPA2 SYT15 UNC5B WASHC2C ZNF239 ZNF32 ZNF33B,peptidyl-tyrosine dephosphorylation|respiratory gaseous exchange by respiratory system|protein dephosphorylation|dephosphorylation|toll-like receptor signaling pathway,0.0001535|0.001152|0.00118|0.003565|0.004429,1|1|1|1|1,29.14|41.19|14.3|9.654|20.39
3,6,0.6829,10.24,4634.0,0.0022,0.998474,A2M PKP2 SLCO1B1 SLCO1B3 SLCO1B7 SLCO1C1,sodium-independent organic anion transport|bile acid and bile salt transport|organic hydroxy compound transport|monocarboxylic acid transport|carboxylic acid transport,9.675e-12|1.472e-10|4.57e-08|4.69e-08|3.269e-07,1.526e-07|1.161e-06|0.0002403|0.000185|0.001031,858.1|403.8|90.93|90.33|55.14
4,5,0.6553,6.553,3725.0,0.0017510000000000002,0.996692,A2ML1 DUS2 NSUN2 PUS3 TRMT1,tRNA modification|tRNA processing|RNA modification|tRNA metabolic process|ncRNA processing,6.092e-14|5.636e-13|2.481e-12|3.585e-12|6.137e-10,9.61e-10|4.445e-09|1.304e-08|1.414e-08|1.936e-06,196.1|133.7|103.8|97.53|40.86
5,58,0.4009,662.6,44700.0,0.01457,1.0,ADORA2A AIFM3 APOBEC3A APOBEC3B APOBEC3C APOBEC3D APOBEC3F APOBEC3G APOL1 APOL2 APOL5 ARHGAP8 BCL2L13 C22orf23 CACNA1I CBY1 COMT CRYBA4 CRYBB1 CRYBB3 DGCR6 DGCR6L DRICH1 EMID1 FOXRED2 GAL3ST1 GSTT2B GUCD1 HMOX1 HORMAD2 HPS1 IGLL1 IGLL5 LRRC75B MIF MPPE1 MTFP1 NIPSNAP1 RFPL2 RFPL3 RGL4 SEC14L3 SEC14L4 SEC14L6 SEPT5 SGSM1 SIRPA SLC5A1 SLC5A4 SUSD2 TBC1D10A TRIOBP TST TUBA8 USP18 VPREB1 YPEL1 ZNF74,DNA cytosine deamination|cytidine metabolic process|cytidine catabolic process|cytidine deamination|cytidine to uridine editing,3.276e-12|7.561e-12|7.561e-12|7.561e-12|7.561e-12,5.168e-08|5.963e-08|3.976e-08|2.982e-08|2.385e-08,209.4|174.5|174.5|174.5|174.5
6,15,0.6295,66.1,9788.0,0.006687,0.999999,AAAS CDCA3 KPNA2 NDC1 NUP133 NUP153 NUP160 NUP188 NUP35 NUP37 NUP43 NUP50 POM121 POM121C SENP2,intracellular transport of virus|transport of virus|multi-organism localization|multi-organism transport|protein sumoylation,1.369e-31|5.643e-31|8.233e-31|8.233e-31|1.188e-30,2.159e-27|4.45e-27|4.329e-27|3.247e-27|3.749e-27,330.5|292.6|283.3|283.3|274.6
7,4,0.6517,3.91,3137.0,0.001242,0.9929309999999999,AADAC CPA3 FGF12 TFDP2,regulation of neuronal action potential|regulation of voltage-gated sodium channel activity|positive regulation of triglyceride catabolic process|angiotensin maturation|regulation of angiotensin levels in blood,0.001456|0.00194|0.002425|0.003152|0.003152,1|1|1|1|1,823.8|588.4|457.7|343.3|343.3
8,26,0.6754,219.5,17550.0,0.012320000000000001,1.0,ACTR2 ACTR3 ARPC2 ARPC3 ARPC4 CCDC93 COMMD10 COMMD2 COMMD3 COMMD4 COMMD5 COMMD6 COMMD7 COMMD8 COMMD9 LZIC RAB21 RAB7A SNX17 VPS26C VPS29 VPS35 VPS35L WASHC3 WASHC4 WASHC5,"retrograde transport, endosome to plasma membrane|vesicle-mediated transport|endosomal transport|vesicle-mediated transport to the plasma membrane|Arp2/3 complex-mediated actin nucleation",1.376e-14|6.052e-12|9.556e-12|1.583e-11|1.106e-10,2.171e-10|4.773e-08|5.024e-08|6.243e-08|3.49e-07,198|6.877|30.6|66.01|198
9,6,0.68,10.2,4837.0,0.0020989999999999997,0.998474,AAED1 C9orf3 FBP2 GNA14 MUSK ZNF510,positive regulation of protein geranylgeranylation|regulation of protein geranylgeranylation|sucrose biosynthetic process|sucrose metabolic process|regulation of synaptic growth at neuromuscular junction,0.0005824|0.0005824|0.0008735|0.001165|0.001746,1|1|1|1|1,3432|3432|1716|1144|686.5
10,20,0.502,95.38,13320.0,0.007091,1.0,AAGAB AGFG1 AP2A1 AP2A2 AP2B1 AP2M1 AP2S1 C10orf88 CCDC32 CLTC DNM2 FCHO2 ITSN2 PICALM RAB5C SH3GL1 SLC11A2 STEAP3 SYNJ1 TFRC,clathrin-dependent endocytosis|endocytosis|receptor-mediated endocytosis|presynaptic endocytosis|synaptic vesicle endocytosis,1.045e-20|1.548e-18|6.887e-17|1.752e-16|1.752e-16,1.648e-16|1.221e-14|3.621e-13|6.908e-13|5.527e-13,325.2|27|48.08|173.4|173.4
