Name		chromosome	base_pair_location	other_allele	effect_allele	Trait	Cohort	Model	beta	ci_lower	ci_upper	p_value	effect_allele_frequency	standard_error	Rank	CRISPR gene?	Our p-val
APOB	ENSG00000084674).GENE.M1.001	2	21001729	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-1.70927	-1.77838	-1.64017	2.23E-307	0.000849639	0.99915	1	APOB	2.93452E-30
PCSK9	ENSG00000169174).GENE.M3.01	1	55039837	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.785925	-0.839104	-0.732746	1.76E-184	0.00143916	0.998559	2	PCSK9	9.04553E-08
LDLR	ENSG00000130164).GENE.M3.01	19	11089548	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.415476	0.37128	0.459673	8.28E-76	0.00216968	0.998948	3	LDLR	2.08456E-42
NPC1L1	ENSG00000015520).GENE.M3.01	7	44513446	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.141503	-0.171162	-0.111844	8.69E-21	0.00460434	0.995905	6	NPC1L1	0.00397864
RRBP1	ENSG00000125844).GENE.M1.001	20	17614181	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.544587	-0.666865	-0.422309	2.57E-18	0.000268627	0.999731	7	RRBP1	0.022022769
ABCG5	ENSG00000138075).GENE.M3.1	2	43813115	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.119666	0.0912677	0.148064	1.47E-16	0.00506259	0.997807	9	ABCG5	0.000304916
ABCA1	ENSG00000165029).GENE.M3.001	9	104784314	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.127195	-0.164879	-0.089511	3.70E-11	0.00284307	0.997149	13	ABCA1	1.04621E-13
HNF1A	ENSG00000135100).GENE.M3.001	12	120978768	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.144443	-0.207572	-0.0813137	7.31E-06	0.00100887	0.99899	33	HNF1A	0.345165047
MYLIP	ENSG00000007944).GENE.M3.001	6	16129322	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.154247	-0.224786	-0.0837077	1.82E-05	0.000809528	0.99919	39	MYLIP	0.000834007
PREB	ENSG00000138073).GENE.M3.001	2	27131413	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.156234	-0.228624	-0.083844	2.34E-05	0.000774278	0.999225	46	PREB	0.026181457
